nom,prenom_x,age_x,taille_x,poids_x,sexe_x,sport_licence_x,niveau_etude_x,region_x,smoker_x,nationalité_francaise_x,revenu_estime_mois_x,montant_pret_x,prenom_y,age_y,taille_y,poids_y,sexe_y,sport_licence_y,niveau_etude_y,region_y,smoker_y,nationalité_francaise_y,revenu_estime_mois_y,montant_pret_y
Georges,Marcelle,54,164.8,68.1,H,oui,bac+2,Occitanie,non,non,2979,3860.159757709737,Zacharie,52,172.0,81.1,F,non,doctorat,Normandie,non,oui,2705,20587.51709436721
Georges,Marcelle,54,164.8,68.1,H,oui,bac+2,Occitanie,non,non,2979,3860.159757709737,Camille,25,177.0,82.7,F,non,doctorat,Normandie,oui,non,2147,500.0
Georges,Marcelle,54,164.8,68.1,H,oui,bac+2,Occitanie,non,non,2979,3860.159757709737,André,47,168.4,60.4,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,4498,10510.549055039552
Hervé,Hugues,69,161.5,79.5,H,non,doctorat,Hauts-de-France,non,oui,2118,21806.838116670817,Émile,41,174.7,73.8,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3679,33597.31993936777
Hervé,Hugues,69,161.5,79.5,H,non,doctorat,Hauts-de-France,non,oui,2118,21806.838116670817,Raymond,53,168.9,68.7,F,non,bac+2,Auvergne-Rhône-Alpes,non,non,2055,500.0
Hervé,Hugues,69,161.5,79.5,H,non,doctorat,Hauts-de-France,non,oui,2118,21806.838116670817,Denise,30,165.5,71.7,F,non,doctorat,Auvergne-Rhône-Alpes,non,oui,2064,24796.438572103933
Hervé,Hugues,69,161.5,79.5,H,non,doctorat,Hauts-de-France,non,oui,2118,21806.838116670817,Jeanne,38,175.0,46.6,H,non,aucun,Auvergne-Rhône-Alpes,non,non,1084,500.0
Hervé,Hugues,69,161.5,79.5,H,non,doctorat,Hauts-de-France,non,oui,2118,21806.838116670817,Lucie,72,179.6,97.1,F,oui,bac,Normandie,non,non,3107,500.0
Hervé,Hugues,69,161.5,79.5,H,non,doctorat,Hauts-de-France,non,oui,2118,21806.838116670817,Élisabeth,75,169.8,58.4,F,non,bac,Hauts-de-France,oui,non,500,500.0
Germain,Nicole,67,161.5,68.7,H,oui,master,Occitanie,non,oui,2639,36859.40166064568,Élodie,26,178.6,84.3,F,non,bac+2,Bretagne,oui,oui,3115,9646.863370898343
Germain,Nicole,67,161.5,68.7,H,oui,master,Occitanie,non,oui,2639,36859.40166064568,Guy,27,175.0,80.0,H,non,aucun,Hauts-de-France,oui,non,3005,500.0
Germain,Nicole,67,161.5,68.7,H,oui,master,Occitanie,non,oui,2639,36859.40166064568,Célina,66,157.5,72.8,F,oui,bac,Auvergne-Rhône-Alpes,non,non,3625,500.0
Germain,Nicole,67,161.5,68.7,H,oui,master,Occitanie,non,oui,2639,36859.40166064568,Cécile,40,177.7,60.9,F,non,bac+2,Normandie,oui,oui,2935,5930.88609799719
Germain,Nicole,67,161.5,68.7,H,oui,master,Occitanie,non,oui,2639,36859.40166064568,Bertrand,36,153.1,53.2,H,oui,bac+2,Bretagne,non,oui,3305,27991.92921835624
Ollivier,Catherine,64,156.1,50.7,H,oui,bac,Normandie,non,non,500,500.0,Marine,43,165.3,75.2,F,non,master,Corse,non,oui,2443,14531.63316157361
Ollivier,Catherine,64,156.1,50.7,H,oui,bac,Normandie,non,non,500,500.0,Alex,43,177.8,63.5,H,oui,aucun,Bretagne,oui,oui,2989,5274.307317518561
Ollivier,Catherine,64,156.1,50.7,H,oui,bac,Normandie,non,non,500,500.0,Matthieu,27,159.7,64.4,H,oui,doctorat,Hauts-de-France,oui,oui,3273,23908.278131460826
Ollivier,Catherine,64,156.1,50.7,H,oui,bac,Normandie,non,non,500,500.0,William,42,167.7,67.9,H,oui,bac,Auvergne-Rhône-Alpes,non,oui,2662,19213.14506989768
Ollivier,Catherine,64,156.1,50.7,H,oui,bac,Normandie,non,non,500,500.0,Éléonore,23,161.9,85.2,F,oui,master,Normandie,non,oui,2446,31558.936787403287
Langlois,Nath,74,163.8,57.9,H,oui,bac+2,Occitanie,non,oui,1795,21713.348276835222,Suzanne,52,175.2,93.0,F,non,aucun,Corse,non,non,2369,500.0
Langlois,Nath,74,163.8,57.9,H,oui,bac+2,Occitanie,non,oui,1795,21713.348276835222,Diane,70,174.5,62.4,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,2541,36057.91903693428
Langlois,Nath,74,163.8,57.9,H,oui,bac+2,Occitanie,non,oui,1795,21713.348276835222,Guillaume,70,168.2,75.9,F,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,3331,40000.0
Langlois,Nath,74,163.8,57.9,H,oui,bac+2,Occitanie,non,oui,1795,21713.348276835222,Margaux,60,163.1,48.5,H,non,aucun,Hauts-de-France,oui,non,2675,500.0
Langlois,Nath,74,163.8,57.9,H,oui,bac+2,Occitanie,non,oui,1795,21713.348276835222,Camille,33,174.5,46.3,F,oui,bac,Bretagne,oui,oui,2560,10283.816655246525
Langlois,Nath,74,163.8,57.9,H,oui,bac+2,Occitanie,non,oui,1795,21713.348276835222,Élisabeth,49,174.2,73.3,F,oui,bac+2,Bretagne,oui,non,974,500.0
Dubois,Roger,66,158.3,70.7,H,oui,master,Bretagne,non,oui,787,29383.29413912061,Thérèse,43,167.7,48.8,H,oui,master,Île-de-France,non,oui,1995,19143.37288698801
Dubois,Roger,66,158.3,70.7,H,oui,master,Bretagne,non,oui,787,29383.29413912061,Nathalie,46,183.6,76.2,F,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,4752,18565.342687611574
Dubois,Roger,66,158.3,70.7,H,oui,master,Bretagne,non,oui,787,29383.29413912061,Michèle,26,174.2,59.4,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2433,24244.39937437157
Dubois,Roger,66,158.3,70.7,H,oui,master,Bretagne,non,oui,787,29383.29413912061,Julien,18,170.2,55.4,H,non,aucun,Provence-Alpes-Côte d’Azur,oui,non,4064,500.0
Dubois,Roger,66,158.3,70.7,H,oui,master,Bretagne,non,oui,787,29383.29413912061,Gilles,24,173.6,57.0,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,2462,3114.841918979429
Dubois,Roger,66,158.3,70.7,H,oui,master,Bretagne,non,oui,787,29383.29413912061,Luce,35,163.9,57.2,H,oui,bac+2,Île-de-France,oui,non,1766,500.0
Dubois,Roger,66,158.3,70.7,H,oui,master,Bretagne,non,oui,787,29383.29413912061,Constance,73,174.1,66.5,F,non,doctorat,Normandie,non,non,1427,500.0
Delattre,Camille,46,161.4,67.8,H,oui,master,Occitanie,non,non,2583,500.0,Laurence,23,171.2,87.7,F,oui,master,Hauts-de-France,oui,oui,2581,12034.497407786908
Delattre,Camille,46,161.4,67.8,H,oui,master,Occitanie,non,non,2583,500.0,Audrey,45,154.1,76.6,H,oui,bac+2,Hauts-de-France,non,oui,2476,22726.49102023749
Delattre,Camille,46,161.4,67.8,H,oui,master,Occitanie,non,non,2583,500.0,Daniel,23,170.2,74.6,F,oui,doctorat,Hauts-de-France,oui,non,4542,500.0
Delattre,Camille,46,161.4,67.8,H,oui,master,Occitanie,non,non,2583,500.0,Lorraine,72,153.9,58.6,H,oui,bac,Bretagne,oui,oui,1577,11924.179483194086
Delattre,Camille,46,161.4,67.8,H,oui,master,Occitanie,non,non,2583,500.0,Océane,57,165.2,51.2,F,oui,master,Provence-Alpes-Côte d’Azur,oui,non,2346,500.0
Delattre,Camille,46,161.4,67.8,H,oui,master,Occitanie,non,non,2583,500.0,Luce,30,162.5,68.4,F,non,bac+2,Auvergne-Rhône-Alpes,non,non,3235,500.0
Grenier,Marcel,37,169.3,70.1,F,oui,master,Normandie,non,oui,3480,26562.828813887936,Arthur,29,157.5,70.8,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,1648,7765.813965617885
Grenier,Marcel,37,169.3,70.1,F,oui,master,Normandie,non,oui,3480,26562.828813887936,Richard,61,171.9,77.6,H,non,aucun,Corse,oui,non,4236,500.0
Grenier,Marcel,37,169.3,70.1,F,oui,master,Normandie,non,oui,3480,26562.828813887936,Olivier,54,150.9,89.7,H,oui,master,Occitanie,oui,oui,2230,20947.71991292791
Grenier,Marcel,37,169.3,70.1,F,oui,master,Normandie,non,oui,3480,26562.828813887936,Claudine,63,170.8,62.8,H,non,aucun,Bretagne,oui,non,5547,500.0
Grenier,Marcel,37,169.3,70.1,F,oui,master,Normandie,non,oui,3480,26562.828813887936,Frédéric,18,160.7,114.0,F,non,master,Île-de-France,non,oui,1212,17303.64533855213
Grenier,Marcel,37,169.3,70.1,F,oui,master,Normandie,non,oui,3480,26562.828813887936,Sophie,23,164.7,64.8,F,oui,aucun,Occitanie,non,non,2050,500.0
Joubert,Théophile,63,164.5,69.3,H,oui,bac+2,Corse,non,oui,2631,16233.947252877962,Susanne,48,172.6,64.5,F,oui,bac,Occitanie,oui,non,2672,500.0
Joubert,Théophile,63,164.5,69.3,H,oui,bac+2,Corse,non,oui,2631,16233.947252877962,Théodore,24,184.6,76.7,F,oui,bac+2,Occitanie,non,oui,3654,20362.0317246577
Joubert,Théophile,63,164.5,69.3,H,oui,bac+2,Corse,non,oui,2631,16233.947252877962,Aurélie,62,161.5,78.3,F,non,bac,Hauts-de-France,non,oui,2459,500.0
Vasseur,Danielle,61,170.6,65.0,H,oui,bac+2,Occitanie,non,oui,2000,28284.39015837461,Matthieu,55,170.8,91.2,H,oui,aucun,Normandie,oui,oui,2991,6197.620081209754
Vasseur,Danielle,61,170.6,65.0,H,oui,bac+2,Occitanie,non,oui,2000,28284.39015837461,Henri,22,151.9,65.9,F,non,bac,Bretagne,non,oui,2444,12399.96287750661
Renaud,Isabelle,71,162.2,58.3,H,oui,master,Occitanie,non,oui,4152,40000.0,Henriette,74,153.4,76.4,F,non,master,Auvergne-Rhône-Alpes,oui,oui,2749,13043.549481062202
Renaud,Isabelle,71,162.2,58.3,H,oui,master,Occitanie,non,oui,4152,40000.0,Sébastien,73,174.8,43.8,H,oui,master,Auvergne-Rhône-Alpes,oui,oui,1853,20231.095428396704
Renaud,Isabelle,71,162.2,58.3,H,oui,master,Occitanie,non,oui,4152,40000.0,Juliette,33,162.5,40.5,H,non,master,Occitanie,oui,non,2474,500.0
Renaud,Isabelle,71,162.2,58.3,H,oui,master,Occitanie,non,oui,4152,40000.0,Thérèse,62,168.6,70.6,H,oui,aucun,Occitanie,non,oui,3727,19462.18189346111
Renaud,Isabelle,71,162.2,58.3,H,oui,master,Occitanie,non,oui,4152,40000.0,Stéphanie,23,186.7,76.6,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,3972,7547.935177053595
Lefèvre,Olivier,67,172.4,60.3,F,oui,doctorat,Normandie,oui,oui,3724,22586.390096982297,Jeanne,52,179.4,89.1,F,oui,master,Occitanie,oui,non,3366,500.0
Lefèvre,Olivier,67,172.4,60.3,F,oui,doctorat,Normandie,oui,oui,3724,22586.390096982297,David,23,168.7,74.9,H,oui,master,Normandie,non,oui,2603,30068.41908443149
Lefèvre,Olivier,67,172.4,60.3,F,oui,doctorat,Normandie,oui,oui,3724,22586.390096982297,Alex,45,171.9,50.9,F,oui,master,Occitanie,oui,oui,2844,13570.56418306565
Lefèvre,Olivier,67,172.4,60.3,F,oui,doctorat,Normandie,oui,oui,3724,22586.390096982297,Marguerite,74,167.9,71.2,F,non,master,Normandie,non,oui,1626,13295.49907466384
Picard,Jeanne,54,170.4,66.8,H,oui,master,Occitanie,non,oui,2589,30006.647190490206,Stéphanie,69,189.6,51.6,F,non,master,Normandie,non,non,3096,500.0
Picard,Jeanne,54,170.4,66.8,H,oui,master,Occitanie,non,oui,2589,30006.647190490206,Louis,74,148.6,117.1,F,non,bac,Bretagne,non,oui,3767,15425.104162905467
Picard,Jeanne,54,170.4,66.8,H,oui,master,Occitanie,non,oui,2589,30006.647190490206,Stéphane,59,173.7,75.8,H,non,doctorat,Auvergne-Rhône-Alpes,oui,non,2436,500.0
Picard,Jeanne,54,170.4,66.8,H,oui,master,Occitanie,non,oui,2589,30006.647190490206,Sébastien,62,183.0,53.4,H,non,doctorat,Occitanie,oui,oui,2061,13640.05425103973
Picard,Jeanne,54,170.4,66.8,H,oui,master,Occitanie,non,oui,2589,30006.647190490206,Antoinette,50,161.5,77.8,F,oui,doctorat,Corse,non,oui,1864,17667.315324824896
Picard,Jeanne,54,170.4,66.8,H,oui,master,Occitanie,non,oui,2589,30006.647190490206,Antoinette,65,174.3,59.3,H,oui,aucun,Normandie,non,oui,2038,15716.714423348903
Picard,Jeanne,54,170.4,66.8,H,oui,master,Occitanie,non,oui,2589,30006.647190490206,Emmanuel,63,179.7,74.5,F,non,bac,Auvergne-Rhône-Alpes,non,oui,1571,11461.418847515348
Lefebvre,Lucie,46,165.4,67.3,H,oui,master,Normandie,non,oui,3730,24899.257345260103,Lorraine,48,159.7,89.0,F,oui,doctorat,Hauts-de-France,non,oui,1460,21915.159714717283
Lefebvre,Lucie,46,165.4,67.3,H,oui,master,Normandie,non,oui,3730,24899.257345260103,Margaud,58,159.8,65.8,H,oui,bac+2,Hauts-de-France,oui,oui,1342,7455.235172053999
Lefebvre,Lucie,46,165.4,67.3,H,oui,master,Normandie,non,oui,3730,24899.257345260103,Éric,71,159.0,82.3,F,oui,bac,Hauts-de-France,oui,non,2721,500.0
Blanc,Adélaïde,57,170.0,78.9,H,non,doctorat,Hauts-de-France,non,non,2559,500.0,Audrey,64,182.5,59.9,H,oui,master,Occitanie,oui,oui,2834,32952.86665699779
Blanc,Adélaïde,57,170.0,78.9,H,non,doctorat,Hauts-de-France,non,non,2559,500.0,Victor,24,161.6,102.2,H,oui,doctorat,Normandie,non,non,1074,500.0
Blanc,Adélaïde,57,170.0,78.9,H,non,doctorat,Hauts-de-France,non,non,2559,500.0,Dorothée,52,163.9,59.4,H,non,master,Auvergne-Rhône-Alpes,non,non,3674,5282.813166276808
Lemaire,Véronique,64,167.3,64.5,H,oui,doctorat,Occitanie,non,non,3366,15050.0510807948,Denis,60,157.0,76.0,H,oui,bac+2,Normandie,oui,oui,1718,19897.43319667251
Lemaire,Véronique,64,167.3,64.5,H,oui,doctorat,Occitanie,non,non,3366,15050.0510807948,Michelle,61,164.7,90.8,F,oui,master,Occitanie,oui,oui,2037,15649.049237593828
Lemaire,Véronique,64,167.3,64.5,H,oui,doctorat,Occitanie,non,non,3366,15050.0510807948,Frédérique,49,147.8,90.5,F,non,bac,Bretagne,oui,oui,1196,500.0
Lemaire,Véronique,64,167.3,64.5,H,oui,doctorat,Occitanie,non,non,3366,15050.0510807948,Yves,24,181.8,87.2,H,oui,aucun,Corse,oui,oui,834,500.0
Pelletier,Benjamin,66,156.9,73.0,H,oui,master,Bretagne,non,oui,1497,30707.464195214437,Tristan,38,168.1,87.0,F,non,bac,Bretagne,oui,oui,3212,500.0
Pelletier,Benjamin,66,156.9,73.0,H,oui,master,Bretagne,non,oui,1497,30707.464195214437,Dominique,67,167.3,63.6,H,oui,master,Corse,non,oui,3206,24369.27219052144
Pelletier,Benjamin,66,156.9,73.0,H,oui,master,Bretagne,non,oui,1497,30707.464195214437,Geneviève,34,160.4,68.2,F,oui,aucun,Occitanie,oui,oui,2612,500.0
Pelletier,Benjamin,66,156.9,73.0,H,oui,master,Bretagne,non,oui,1497,30707.464195214437,Marianne,55,191.0,93.9,F,oui,bac,Corse,oui,oui,3314,500.0
Pelletier,Benjamin,66,156.9,73.0,H,oui,master,Bretagne,non,oui,1497,30707.464195214437,Joséphine,18,165.8,81.3,F,oui,bac+2,Occitanie,oui,oui,500,1122.3983492595546
Pelletier,Benjamin,66,156.9,73.0,H,oui,master,Bretagne,non,oui,1497,30707.464195214437,Jean,19,197.0,66.5,F,oui,bac+2,Occitanie,non,oui,3823,17633.26257800912
Monnier,Suzanne,56,161.1,75.1,H,oui,doctorat,Occitanie,non,oui,3816,40000.0,Amélie,20,177.4,76.3,F,oui,aucun,Occitanie,non,oui,2820,13697.073367800154
Monnier,Suzanne,56,161.1,75.1,H,oui,doctorat,Occitanie,non,oui,3816,40000.0,Denis,51,164.9,62.3,H,non,aucun,Auvergne-Rhône-Alpes,oui,non,1061,500.0
Monnier,Suzanne,56,161.1,75.1,H,oui,doctorat,Occitanie,non,oui,3816,40000.0,Constance,64,167.3,37.0,H,non,master,Île-de-France,non,oui,500,25232.35938743952
Monnier,Suzanne,56,161.1,75.1,H,oui,doctorat,Occitanie,non,oui,3816,40000.0,Honoré,67,179.8,91.0,F,oui,bac,Corse,non,oui,1745,7372.130972364732
Lenoir,Marthe,51,156.4,76.4,H,oui,aucun,Occitanie,non,oui,3191,16161.494708883374,Madeleine,53,172.5,75.2,F,oui,bac,Hauts-de-France,oui,non,1683,500.0
Lenoir,Marthe,51,156.4,76.4,H,oui,aucun,Occitanie,non,oui,3191,16161.494708883374,Paul,66,171.8,114.8,H,oui,bac,Occitanie,non,oui,2940,20138.495305607503
Lenoir,Marthe,51,156.4,76.4,H,oui,aucun,Occitanie,non,oui,3191,16161.494708883374,Théodore,44,155.5,80.0,H,non,bac,Occitanie,oui,non,3193,500.0
Dos Santos,Charles,75,173.7,70.3,H,oui,master,Occitanie,non,non,689,500.0,Corinne,26,183.6,50.4,H,oui,aucun,Île-de-France,non,non,500,500.0
Dos Santos,Charles,75,173.7,70.3,H,oui,master,Occitanie,non,non,689,500.0,Anouk,23,151.3,64.2,F,non,master,Auvergne-Rhône-Alpes,non,non,2728,500.0
Dos Santos,Charles,75,173.7,70.3,H,oui,master,Occitanie,non,non,689,500.0,André,46,152.1,60.7,F,non,bac,Occitanie,oui,non,3199,500.0
Dos Santos,Charles,75,173.7,70.3,H,oui,master,Occitanie,non,non,689,500.0,Jeanne,59,170.2,81.9,H,oui,bac+2,Bretagne,oui,oui,3668,36384.9686400523
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839,Margot,39,173.1,116.2,H,oui,doctorat,Corse,oui,non,3843,500.0
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839,Luce,21,164.3,61.8,H,non,doctorat,Occitanie,oui,oui,2460,18350.989124561755
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839,Édouard,67,193.0,64.6,F,oui,bac,Corse,non,non,1965,500.0
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839,Dorothée,54,154.0,76.9,H,oui,bac,Provence-Alpes-Côte d’Azur,non,non,4929,7885.709414760068
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839,Paul,21,187.5,84.0,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,2216,500.0
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839,Monique,64,145.1,60.1,F,non,aucun,Île-de-France,oui,non,3044,500.0
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839,Manon,32,165.2,57.6,H,oui,master,Hauts-de-France,non,non,1675,500.0
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839,Grégoire,39,156.5,68.9,F,oui,aucun,Normandie,non,oui,500,3134.35261872468
Giraud,Alexandria,40,163.3,70.7,H,oui,doctorat,Occitanie,non,oui,965,33143.65215387839,Laurent,54,157.8,77.0,H,oui,aucun,Île-de-France,oui,non,1095,500.0
